"Area","Menu","Page","URL","Type","Cards","Table Columns","Inputs","View / Detail","Actions","Notes"
"Persetujuan","Permintaan Barang ~","Permintaan Barang ~","/goods-request-approval","Approval List","—","#, Kode, Tanggal, Peminta, Penyedia, Pembuat, Catatan, Status, #","Search, GSTable1_length","[Detail Permintaan Barang] Field: Kode Permintaan, Status, Gudang Asal, Gudang Tujuan, Tanggal Permintaan, Catatan, Pembuat • Tabel Detail: (#, Barang, Qty Diminta, Qty Disetujui, Qty Dikeluarkan, Qty Digunakan, Qty Dikembalikan, Satuan) • Riwayat Persetujuan","Riwayat, Cetak Dokumen, Lihat, Modal Setuju, Modal Tolak, Tutup",""""""
"Persetujuan","Permintaan HPP ~","Permintaan HPP ~","/request-cogs-approval","Approval List","—","#, Kode, Tanggal, Pelanggan, Sales Sample, Produk, Pembuat, Catatan, Status, #","Search, GSTable1_length","[Detail Permintaan HPP] Field: Kode, Status, Pelanggan, Kode Sample, Produk, Tanggal, Netto Sample, Formula, Kemasan Primer 1 & 2, Kemasan Sekunder • Tabel Detail: (MOQ, HPP Produk, Margin OP, HPP Kemasan Primer, Kemasan Sekunder, Total HPP/pcs) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""""""
"Persetujuan","Permintaan Pembelian ~","Permintaan Pembelian ~","/purchase-request-approval","Approval List","—","#, Kode, Tanggal, Pemohon, Total Item, Catatan, Status, #","Search, GSTable1_length","[Detail Permintaan Pembelian] Field: Kode PR, Pemohon, Tanggal, Catatan, Status • Tabel Detail: (#, Barang, Qty Diminta, Satuan, Keterangan) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""""""
"Persetujuan","Retur Pembelian ~","Retur Pembelian ~","/purchase-return-approval","Approval List","—","#, Tanggal, Kode Retur, Pembelian Masuk, Supplier, Total, Pembuat, Status, #","Search, GSTable1_length","[Detail Retur Pembelian] Field: Kode Retur, Status, Supplier, Gudang, Pembuat, Tanggal, Kode GR, Kode PO, Total Item, Total Jumlah, Catatan • Tabel Detail: (#, Barang, Qty Retur, Harga, Total, Catatan) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak (Input Alasan Penolakan), Tutup",""""""
"Persetujuan","Retur Penjualan ~","Retur Penjualan ~","/sales-return-approval","Approval List","—","#, Tanggal, Kode Retur, No. Faktur, Pelanggan, Total, Pembuat, Status, #","Search, GSTable1_length","[Detail Retur Penjualan] Field: Kode Retur, Tanggal Retur, No. Faktur, Pelanggan, Pembuat, Catatan, Status • Tabel Detail: (#, Barang, Qty Retur, Harga, Total, Alasan Retur) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""""""
"Umum","Checklist","Checklist","/checklist","List","—","#, No. Sales, Customer, Produk, Tanggal Mulai, Tanggal Selesai, Pembuat, Status, #","Search, GSTable1_length","—","Riwayat, Buat, Tracking",""""""
"Umum","Checklist","Buat Checklist","/checklist/create","Form","—","—","Sales * Pilih sales order, Produk Pilih produk (opsional), Customer Info customer, Kategori Sales Info kategori, Tanggal Mulai * Tanggal mulai, Tanggal Selesai * Tanggal selesai, Deskripsi Keterangan (opsional), Desain Logo PIC & durasi, HKI PIC & durasi, BPOM Merk PIC & durasi, BPOM NA PIC & durasi, MOU PIC & durasi, Desain Kemasan PIC & durasi, Approval Desain PIC & durasi, Bahan Baku PIC & durasi, Pelunasan PIC & durasi, Mixing PIC & durasi, Bahan Kemas PIC & durasi, Filling PIC & durasi, Label PIC & durasi, Box PIC & durasi, Packing PIC & durasi, Delivery PIC & durasi, Halal PIC & durasi, Uji Lab PIC & durasi","—","Batal, Simpan Checklist",""""""
"Umum","Checklist Progress","Checklist Progress","/checklist-progress","List","Total SO Aktif, Item Pending (Notifikasi), Checklist Input Design, Checklist Main","#, No. Sales Order, Customer, Brand / Produk, Kategori Sales (Jenis SO), Tanggal Mulai, Tanggal Selesai, Status BPOM (Keluar / Belum), Estimasi Selesai, Status Utama, #","Navbar Tabs: Main | Input Design (PIC Mas Edi), Toggle Filter: Versi Keseluruhan | Khusus Kebutuhan PIC, Filter Status Pending","[Detail Checklist SO] 1 SO = 1 Checklist Utama dengan rincian kronologis seluruh kategori (Box, Label, Desain, Formula, BPOM, Mixing, Filling, Packing, Delivery) • Dokumen BPOM per SO • Log Tanggal Perubahan & Catatan Pending","Lihat Detail Kronologis, Update Milestone, Kirim Notifikasi Pending",""""" | Poin 36, 54, 55, 57, 58, 64-67, 71: 1 SO hanya punya 1 checklist utama (bukan per baris kategori). Versi Keseluruhan vs Khusus PIC. Notifikasi item pending. Navbar dibedakan Input Design (PIC Mas Edi) dan Main. Dokumen BPOM ditampilkan per SO. Status done bisa dikembalikan jika terkendala"
"Umum","Checklist Tracking","Checklist Tracking","/checklist-tracking","Tracking Matrix","Total Project Maklon, On Track, Menunggu Approval, Tertunda","#, Pelanggan, Brand / Produk, Sales Order, BusDev, Mulai, Berakhir, Deadline SO, Deadline per PIC (Desain, MoU, BPOM, Kemasan, dll), Estimasi Deadline, Progress, Status Projek, Matriks Milestone (Desain Logo, HKI, BPOM NA, MoU, Desain Kemas, Bahan Baku, Pelunasan, Mixing, Bahan Kemas, Filling, Label, Box, Packing, Delivery), Foto Kemasan, #","Filter Status Milestone, Filter PIC, Filter Periode Date Range Custom","[Detail Tracking] Foto Kemasan Produk, Deadline per PIC, Estimasi Selesai, History Status BPOM & Keterangan Hambatan • Aturan: Kategori baru pindah status setelah SEMUA kategori dalam SO selesai • Validasi anti-manipulasi status","Lihat Timeline, Halal Uji Lab, Riwayat Status, Upload Foto Kemasan",""""" | Poin 38, 39, 56, 59, 62, 63, 67, 74: Deadline terpisah per PIC & estimasi deadline. Kategori baru dianggap selesai setelah SEMUA kategori dalam SO selesai. Urutan kronologis. Validasi status berurutan (mencegah manipulasi KPI). Menampilkan foto kemasan. Nomor BPOM & history progress"
"Umum","Closing & Controls","Closing Checklist & Period Lock","/closing-checklist","Financial Checklist & Period Governance","X/Y Tasks Completed (Progress Bar Bulan Berjalan), Status Periode (Open / Soft Lock / Hard Lock)","Task Name, Category (Bank Reconcile / AP Review / AR Review / Stock Valuation / Deprec / Tax / GL Review / Statements), Owner, Due Date, Status (Not Started / In Progress / Done / Blocked), Evidence (Attachment), Approver, Completed At, #","Filter Bulan Periode Closing, Filter Category","[Detail Task Closing] Bukti dokumen attachment rekonsiliasi, Log sign-off approver","Update Status Task, Upload Bukti, Tombol ""Lock Period [Bulan]"" (Hard Lock / Soft Lock)","Fitur Period Lock: Soft Lock memberikan peringatan saat transaksi; Hard Lock mengunci total seluruh transaksi di periode tersebut (read-only). Transaksi susulan wajib lewat Adjustment Journal"
"Umum","Kategori Checklist","Kategori Checklist","/checklist-category","List","—","#, Nama Kategori, Urutan, Lama Hari per Kategori Penjualan, Setelah Kategori, #","Search, GSTable1_length","—","Buat, Sunting, Hapus",""""""
"Umum","Kategori Checklist","Buat Kategori Checklist","/checklist-category/create","Form","—","Kategori Penjualan, Lama Hari","Nama Kategori * Nama kategori checklist, Urutan * Urutan tampilan (angka), Lama Hari (Default) Dipakai jika sales category tidak ada di tabel bawah, Lama Hari per Kategori Penjualan Isi sesuai kategori penjualan, Setelah Kategori Dimulai setelah kategori ini done","—","Kembali, Simpan","Memiliki sub-tabel keranjang/item dinamis"
"Umum","Kelola Checklist","Kelola Checklist","/checklist-manage","List","—","#, No. Sales, Customer, Brand, Produk, Tanggal Mulai, Tanggal Selesai, Pembuat, Status, #","Search, GSTable1_length","[Detail Checklist] • Field: Customer, No. Sales, Brand, Produk, Periode, Status, Dibuat Oleh, Tanggal Dibuat • Tabel Detail: (#, Kategori, PIC, Lama Hari, Setelah, Status, Catatan, Terakhir Update) • Aksi Modal: Tutup","Riwayat, Tracking, Pending, Lihat, Ubah, Batalkan, Modal Tutup",""""""
"Operasional","Akuntansi","Adjustment Journal","/adjustment-journal","Special Approval Journal","Total Jurnal Penyesuaian Periode Terkunci, Menunggu Persetujuan Controller","Adjustment No, Original Period, Reason / Justification, Amount, Pemohon, Approver, Status (Draft / Approved / Posted), #","Original Period*, Reason* (wajib diisi alasan revisi pembukuan), Multi-line Journal (Dr/Cr Account, Amount)","[Detail Adjustment Journal] Catatan audit lengkap alasan koreksi periode terkunci, approval trail Finance Manager / Controller","+ Buat Adjustment Journal, Lihat, Modal Setuju, Modal Tolak, Posting ke GL","Satu-satunya jalur sah untuk memasukkan transaksi ke periode yang sudah berstatus Hard Lock"
"Operasional","Akuntansi","Asset Transfer / Disposal","/asset-transfer-disposal","Asset Lifecycle Execution","Total Nilai Aset Didispose Tahun Ini, Net Gain/Loss on Disposal","No Transaksi, Tanggal, Asset Code, Tipe Aksi (Transfer / Disposal), Dept/Lokasi Asal, Dept/Lokasi Tujuan, Nilai Jual, Gain/Loss, Status, #","Filter Tipe Aksi","[Detail Disposal/Transfer] Perhitungan Gain/Loss = Nilai Jual - Nilai Buku Terakhir • Jurnal: Dr Akumulasi Penyusutan, Dr Kas (jual), Dr/Cr Rugi/Laba Pelepasan Aset, Cr Aset Tetap (at cost)","+ Buat Transfer/Disposal, Lihat, Cetak Berita Acara Pelepasan Aset","Memerlukan persetujuan Finance Manager sebelum menghapus aset dari neraca"
"Operasional","Akuntansi","Bank Reconciliation","/bank-reconciliation","Two-Column Reconciliation Engine","Statement Balance, Book Balance, Difference (harus 0 setelah reconciled)","Kolom Kiri: Bank Statement Lines (upload CSV/Excel) | Kolom Kanan: System Transactions (Kas Masuk/Keluar)","Filter Tanggal Kalender Lengkap (Date Range Picker Custom)*, Filter Berdasarkan Akun COA (search-select)*, Upload Bank Statement","Matching Engine: Auto-match berdasarkan Amount + Tanggal (toleransi ±2 hari). Manual match drag-drop atau checklist pasangan transaksi","Import Rekening Koran, Auto-Match, Create Reconciliation Journal (selisih biaya bank), Finalize Reconcile","Selisih biaya administrasi/bunga bank langsung dibuatkan jurnal rekonsiliasi dari halaman ini: Dr Bank Charge, Cr Bank | Poin 20 & 21: Tambahkan filter tanggal kalender lengkap (rentang bebas) dan filter berdasarkan COA"
"Operasional","Akuntansi","Client Escrow / Pass-Through Disbursement Ledger","/client-escrow","Trust Fund / Escrow Ledger","Total Deposit Client Outstanding, Total Sudah Disbursed Bulan Ini, Belum Direimburse ke Kas Negara","Escrow No, Client, Purpose (BPOM Registration / Uji Lab / HKI / Lainnya), Deposit Received, Disbursed Amount, Remaining Balance, Status (Deposited / Partially Used / Fully Settled), #","Filter Client, Filter Status, Filter Purpose","[Detail Escrow Client] Rekap Dana Titipan: Deposit Masuk vs Pengeluaran ke Instansi/Lab vs Sisa Dana • Riwayat Bukti Bayar PNBP Simponi/Invoice Lab • Jurnal: Dr Bank, Cr Client Escrow Deposit (Liability) saat masuk; Dr Client Escrow Deposit, Cr Bank saat keluar (0% menyentuh P&L Dreamlab)","+ Terima Deposit Escrow, + Bayar Disbursement (Biaya Lab/BPOM), Cetak Rekonsiliasi Escrow Klien, Refund Sisa Dana","Uang titipan BPOM/HKI/uji lab klien BUKAN REVENUE Dreamlab. Jika biaya aktual lebih besar, sistem memunculkan tagihan top-up ke klien"
"Operasional","Akuntansi","Depreciation Schedule","/depreciation-schedule","Schedule & Batch Runner","Depresiasi Bulan Ini, Total Aset Aktif Tersusutkan","Asset Code, Name, Method (Straight Line), Useful Life, Monthly Depreciation, Next Run Date, Last Run Date, #","Filter Periode Bulan Penyusutan, Filter Kategori Aset","Tabel Rincian Jadwal Penyusutan per Bulan dari awal perolehan hingga nilai sisa (scrap value)","Tombol ""Run Depreciation"" Bulanan (generate jurnal otomatis Dr Beban Penyusutan, Cr Akumulasi Penyusutan), Export Excel","Default useful life auto-fill: Inventaris (4 thn), Motor (4 thn), Mobil (8 thn), Bangunan Permanen (20 thn)"
"Operasional","Akuntansi","Jurnal Umum","/general-journal","List","Total Debit Bulan Ini, Total Credit Bulan Ini, Unbalanced Draft Journal (harus 0)","#, Kode, Tanggal, Deskripsi, Debit, Kredit, Tipe, Referensi, Status, Aksi (Format ERP Lama G-SERP)","Filter Periode Custom (Date Range Bebas Lintas Bulan)*, Filter Tipe Jurnal","[Detail Jurnal Umum] Kode, Tanggal, Deskripsi, Referensi, Pembuat, Tipe, Status • Tabel Detail: (#, CoA, Deskripsi, Debit, Kredit) • Total Debit & Kredit Balance","+ Buat, Filter, Export Excel, Lihat, Print","Tipe dan Referensi otomatis terisi dari subledger (AP/AR/Cash/Stock). Jurnal Manual hanya untuk adjustment, accrual, reclassification. Tidak boleh posting ke akun Allow Manual Journal = false atau periode Locked | Poin 25-27: Filter periode custom. Tampilan/format disamakan dengan sistem ERP lama (G-SERP). Input ""Dimensi Finansial"" dihapus total"
"Operasional","Akuntansi","Buat Jurnal Umum","/general-journal/create","Form","—","Account (search-select), Debit, Credit, Line Description, Aksi Baris","Date*, Description*, Reference (opsional), Multi-line: Account (search-select), Debit, Credit, Line Description (Tanpa Dimensi Finansial)","—","Kembali, Tambah Baris, Simpan Draft, Submit Approval","Balanced Check wajib: Total Debit harus sama dengan Total Credit sebelum bisa submit | Poin 27: Input Dimensi Finansial dihapus | Format Kode Universal: Tersedia versi lengkap (DL-DIV-PRD-DDMMYYYY-0001) & versi ringkas (PRD-DDMMYYYY-0001). Nomor urut akhir bersifat global & berkelanjutan (tidak reset)"
"Operasional","Akuntansi","Kas Bank Masuk","/other-deposit","List","Total Kas Masuk (Hanya 1 Card Ringkas)","#, Kode, Tanggal, Deskripsi, Dari, Kas/Bank, Jumlah, Status, Aksi","Filter Kalender Lengkap (Date Range Picker Bebas Pilih Rentang Tanggal Apa Pun)*, Tombol Filter","[Detail Kas Masuk] Sumber Dana, Akun Kas/Bank Penerima, Keterangan, Referensi Dokumen AR (jika auto-generated)","+ Buat (khusus manual non-AR), Filter, Lihat, Print Bukti Kas Masuk","Auto-generated entries dari Bayar Penjualan & DP Penjualan bersifat read-only. Form manual hanya untuk transaksi tanpa dokumen sumber (petty cash, bunga bank) | Poin 18: Card Kas Bank Masuk menampilkan HANYA total kas, dengan filter kalender lengkap (date range custom bebas)"
"Operasional","Akuntansi","Buat Kas Bank Masuk","/other-deposit/create","Form","—","—","Tanggal * Tanggal penerimaan, Kas/Bank * Akun penerimaan, Deskripsi * Keterangan penerimaan, Dari Nama pengirim (opsional), CoA Pendapatan * Akun pendapatan/pemasukan, Memo Keterangan item, Jumlah * Nominal yang diterima","—","Tambah ke Keranjang, Kembali, Simpan",""""""
"Operasional","Akuntansi","Kas Bank Keluar","/other-payment","List","Total Kas Keluar (Hanya 1 Card Ringkas)","#, Kode, Tanggal, Deskripsi, Kepada, No. Tagihan, Kas/Bank, Jumlah, Status, Aksi","Filter Kalender Lengkap (Date Range Picker Bebas Pilih Rentang Tanggal Apa Pun)*, Tombol Filter","[Detail Kas Keluar] Penerima Dana, No Tagihan Vendor, Rekening Sumber, Jurnal Terkait","+ Buat (khusus manual non-AP), Filter, Lihat, Print Bukti Kas Keluar","Auto-generated dari Bayar Pembelian, DP Pembelian, dan Pengajuan Dana (Disbursed). Manual entry hanya untuk biaya operasional tanpa faktur vendor | Poin 19: Card Kas Bank Keluar menampilkan HANYA total kas keluar, dengan filter kalender lengkap (date range custom bebas)"
"Operasional","Akuntansi","Buat Kas Bank Keluar","/other-payment/create","Form","—","—","Tanggal * Tanggal pembayaran, Deskripsi * Deskripsi umum pembayaran, Kas/Bank * Pilih akun kas/bank untuk pembayaran, Kepada Nama penerima pembayaran (opsional), No. Tagihan Nomor tagihan/invoice (opsional), Chart of Account (CoA) * Pilih akun beban/biaya, Jumlah * Nilai pembayaran, Keterangan Entry Deskripsi khusus untuk entry ini (opsional)","—","Tambah ke Keranjang, Kembali, Simpan Kas Bank Keluar",""""""
"Operasional","Akuntansi","Tax Transactions","/tax-transactions","Tax Ledger & Reconciliation","PPN Keluaran Bulan Ini, PPN Masukan Bulan Ini, PPN Kurang/Lebih Bayar, PPh 23 Belum Disetor","Ref Document (No Invoice), Tax Type, Base Amount (DPP), Rate (%), Tax Amount, Status (Accrued / Reported / Paid), #","Filter Jenis Pajak (PPN/PPh 23), Filter Periode Date Range Custom, Filter Status","[Detail Transaksi Pajak] Link ke Faktur Pembelian/Penjualan sumber, Dokumen Bukti Potong, Perhitungan DPP vs PPN","Filter, Export Rekap Pajak (Excel), Update Status Reported/Paid","Baris otomatis muncul dari Faktur Pembelian dan Faktur Penjualan. PPh 21 direkap bulanan dari data payroll HR sebagai informasi laporan keuangan | Poin 35: Di-skip dari scope pengerjaan (tanpa integrasi e-Faktur/e-Bupot DJP)"
"Operasional","Barang Keluar","Pengiriman Barang","/delivery-out","List","—","#, Kode, Tanggal, No. Sales, Tanggal Sales, Customer, Pembuat, Status, #","Search, GSTable1_length","[Detail Pengiriman] • Field: Kode Pengiriman, Tanggal Pengiriman, Kode Sales, Tanggal Sales, Catatan, Customer, Pengguna, Status • Tabel Detail: (#, Barang, Satuan, Qty Kirim) • Aksi Modal: Tutup","Riwayat, Buat, Pending, Lihat, Print, Batalkan, Modal Tutup",""""""
"Operasional","Barang Keluar","Buat Pengiriman Barang","/delivery-out/create","Form","—","#, Barang, Satuan, Qty Sales, Qty Tersedia, Qty Kirim","Tanggal, Sales, Catatan Catatan tambahan (opsional), Foto Upload foto pengiriman (opsional), Pilih file...","—","Kembali, Simpan","Memiliki sub-tabel keranjang/item dinamis"
"Operasional","Barang Keluar","Transfer Barang","/goods-transfer","List","—","#, Kode, Tanggal, Gudang Asal, Gudang Tujuan, Pembuat, Status, #","Periode: *","[Detail Transfer Barang] • Field: Kode Transfer, Status, Gudang Asal, Gudang Tujuan, Pembuat, Tanggal Transfer • Tabel Detail: (#, Gambar, Barang, Qty, Catatan) • Aksi Modal: Tutup","Buat, Aktif, Lihat, Print, Batalkan, Modal Tutup",""""""
"Operasional","Barang Keluar","Buat Transfer Barang","/goods-transfer/create","Form","—","—","Gudang Asal * Gudang asal barang akan dikirim, Gudang Tujuan * Gudang tujuan barang akan diterima, Tanggal Transfer * Tanggal transfer barang dilakukan, Catatan Catatan tambahan untuk transfer ini (opsional), Barang * Pilih barang yang akan ditransfer, Stok Tersedia di Gudang Asal Jumlah stok yang bisa ditransfer, Jumlah (Qty) * Masukkan jumlah barang yang akan ditransfer, Catatan Item Catatan khusus untuk barang ini (opsional)","—","Tambah ke Keranjang, Kembali, Simpan Transfer",""""""
"Operasional","Barang Keluar","Retur Pembelian","/purchase-return-out","List","—","#, Kode Retur, Tanggal Retur, Supplier, Gudang, Pembuat, Status, #","Search, GSTable1_length","—","Riwayat",""""""
"Operasional","Barang Masuk","Pembelian Masuk","/purchase-in","List","—","#, Kode Penerimaan, Tanggal, No PO, Supplier, Gudang, Qty Diterima, Jumlah Bagus, Jumlah Cacat/Reject, Jumlah Barang Gratis (Free), Status, #","Search/Autocomplete, Filter Supplier, Filter Periode (Date Range Custom)","[Detail Penerimaan Barang] Rincian Qty Diterima, Qty Bagus (hanya ini yang dibayar ke vendor), Qty Reject (otomatis terbit retur/debit note), Qty Free/Gratis","Riwayat, Approved, Lihat, Print Warehouse, Terima Barang",""""" | Poin 44, 50, 51, 53: Penerimaan barang wajib mencantumkan rincian jumlah free, jumlah cacat/reject, dan jumlah kondisi bagus. Pembayaran vendor HANYA untuk kondisi bagus. Input free dicatat di sini"
"Operasional","Barang Masuk","Retur Penjualan","/sales-return-in","List","—","#, Kode Retur, Tanggal Retur, Pelanggan, Pembuat, Status, #","Search, GSTable1_length","—","Riwayat",""""""
"Operasional","Budgeting","Budget Entry","/budget-entry","Matrix Budget Planner","Total Anggaran Disetujui Tahun Ini, Total Versi Budget Aktif","Grid Editable: Account (COA) x Department x Month (Jan - Des), Total Setahun","Fiscal Year*, Budget Version (Draft / Approved), Tombol Copy from Previous Year + Input Pertumbuhan (%)","Perbandingan antar versi budget (Draft vs Approved). Approved version menjadi read-only","Simpan Draft, Submit Approval, Lock Version, Export Excel","Revisi budget yang sudah approved dilakukan dengan membuat versi baru (V2, V3)"
"Operasional","Buku Tamu","Buku Tamu","/guest-book","List","TOTAL LEADS 0 Total Bulan Ini; FOLLOW UP AKTIVITAS 0 Task Selesai (0%); JUMLAH MEETING 0 Offline & Online (Periode Ini); CONVERSION RATE 0.00% Lead to Deal (Close Ratio)","#, Tanggal & Waktu, Nama Klien, Meeting & PIC, Kontak, Kota, Produk Diminati, MOQ, Target Market, Kategori, Aksi","Filter Bulan / Periode (Date Range Custom)*, Search Berdasarkan Nama*, Filter Status Lead","—","Riwayat, Buat",""""" | Poin 77: Tambahkan filter bulan dan fitur search berdasarkan nama pada Buku Tamu"
"Operasional","Buku Tamu","Buat Buku Tamu","/guest-book/create","Form","—","—","Nama Klien/Tamu* (search/autocomplete), Instansi/Brand, Kontak (WhatsApp)*, Keperluan/Minat Produk, Tanggal Kunjungan*, PIC BusDev*, Auto-Save Draft State","—","Kembali, Simpan Data",""""" | Poin 78: Tambahkan fitur auto-save saat user keluar dari form input"
"Operasional","Client Lost","Client Lost","/client-lost","List","0 item; 0 klien","NO, BRAND & PRODUK, PELANGGAN, PIC BD, EST. VALUE DEAL, TGL SAMPLE, STATUS SAMPLE, STATUS LOST | NO, NAMA PELANGGAN, LIFETIME VALUE, TOTAL TRANSAKSI, TGL TERAKHIR ORDER, JEDA TIDAK ORDER, STATUS","Search","—","—",""""""
"Operasional","Client Produksi","Client Produksi","/client-production","List","0% SAMPLE → DEAL (0/0) CONVERSION RATE; 0 HARI SAMPLE → SALES AVG. CLOSING TIME; Rp 0 RATA-RATA PER SALES AVG. DEAL VALUE; 0 projek","#, Pelanggan, Brand/Produk, Sales Order, BusDev, Mulai, Berakhir, Deadline, Progress, Status Projek, Desain Logo Semua Pending Process Done, HKI Semua Pending Process Done, BPOM Merk Semua Pending Process Done, BPOM NA Semua Pending Process Done, MOU Semua Pending Process Done, Desain Kemasan Semua Pending Process Done, Approval Desain Semua Pending Process Done, Bahan Baku Semua Pending Process Done, Pelunasan Semua Pending Process Done, Mixing Semua Pending Process Done, Bahan Kemas Semua Pending Process Done, Filling Semua Pending Process Done, Label Semua Pending Process Done, Box Semua Pending Process Done, Packing Semua Pending Process Done, Delivery Semua Pending Process Done, #","Search","—","—",""""""
"Operasional","Client RO","Client RO","/client-repeat-order","List","0 projek","#, Pelanggan, Brand/Produk, Sales Order, BusDev, Mulai, Berakhir, Deadline, Progress, Status Projek, Desain Logo Semua Pending Process Done, HKI Semua Pending Process Done, BPOM Merk Semua Pending Process Done, BPOM NA Semua Pending Process Done, MOU Semua Pending Process Done, Desain Kemasan Semua Pending Process Done, Approval Desain Semua Pending Process Done, Bahan Baku Semua Pending Process Done, Pelunasan Semua Pending Process Done, Mixing Semua Pending Process Done, Bahan Kemas Semua Pending Process Done, Filling Semua Pending Process Done, Label Semua Pending Process Done, Box Semua Pending Process Done, Packing Semua Pending Process Done, Delivery Semua Pending Process Done, #","Search","—","—",""""""
"Operasional","Client Sample","Client Sample","/client-sample","List","0 Sedang di R&D Sample Dalam Proses; Rp 0 Pipeline Aktif Rencana Omset; 0 App. Rate: 0.00% Sample Approved; 0.00% Sample → Deal Deal Rate; Rp 0 Dari Deal Pilot Total Omset; Total Tampil: 0 Proyek","No, Pelanggan / NPF, Info Leads, Catatan Progress, Rencana Deal, Pelacakan Sampel (Status & Revisi), Pelacakan HKI, Suggest, Negosiasi Deal, Status Akhir, Total Omset, Aksi, MOQ, Rencana Omset, Rev 1, Rev 2, Rev 3, Extra, Progress HKI, Revisi Logo, Kemasan, Desain, Nilai","Pipeline Deal (Rencana Omset), Realisasi Omset, MOQ, Status HKI, Status Revisi Logo/Desain, Upload Suggest Kemasan, Upload Suggest Desain, Upload Suggest Nilai, Negosiasi Deal","—","Simpan",""""""
